Dataid,Brand,Images,Interested_count,Item_description,Likes,Link,MarketStatus,Price,SearchDate,SellerId,SellerName,Size,Title,Upload_date,View_count,Condition,Page,SearchCount
5636380642,MAX&Co.,[],,"Vendo queste splendide scarpe nere in camoscio firmate Max&Co, taglia 39, ideali per completare outfit eleganti e raffinati. Perfette per cerimonie, serate speciali o look da ufficio sofisticati. Materiale: Camoscio nero di alta qualità Design: Classico con punta affusolata e dettagli moderni Condizioni: Usate pochissimo, come nuove !",0,https://www.vinted.it/items/5636380642-scarpe-nere-eleganti-da-donna-maxco-numero?referrer=catalog,Sold,18.0,11/01/2025 18:02:41,458,signoraclaudia,39,Scarpe nere eleganti da donna Max&Co,un'ora,5.0,Condizioni,4,0
5636461691,Shein,[],1.0,Bottes beiges neuve jamais portée écrit taille 41 mais correspond à 40,0,https://www.vinted.it/items/5636461691-bottes-beige?referrer=catalog,Sold,10.0,11/01/2025 18:18:14,459,clemence.d31,40,Bottes beige,43 min,16.0,Condizioni,1,0
5636636885,Geox,[],1.0,Usado poucas vezes.,0,https://www.vinted.it/items/5636636885-sapato-de-tacao-preto-da-geox?referrer=catalog,Sold,10.0,11/01/2025 18:44:34,460,aerdnairam,39,Sapato de tacão preto da Geox,41 min,5.0,Condizioni,1,4
5636501143,UGG,[],1.0,Taille 39 Jamais portées Neuves,0,https://www.vinted.it/items/5636501143-ugg-neuves?referrer=catalog,Sold,70.0,11/01/2025 18:34:22,461,ndudujdn,39,UGG neuves,un'ora,14.0,Condizioni,1,5
5636758308,Haflinger,[],,"Chaussons Haflinger Grizzly Kanon39 en 39, couleur marine, neuves. Prix d'origine 79€90. Notre prix de vente est fixe. Nombreux modèles disponibles dans notre dressing.",0,https://www.vinted.it/items/5636758308-chaussons-haflinger-grizzly-kanon39-en-39-couleur-marine?referrer=catalog,Sold,31.0,11/01/2025 18:44:33,462,La boite a chaussures,39,Chaussons Haflinger Grizzly Kanon39 en 39,27 min,2.0,Condizioni,1,6
5636803359,Crocs,[],1.0,"El pin se puede quitar, usadas una vez, no están ni manchadas ni rotas, pongo que son de mujer por poner algo pero son unisex. Se supone que son una 39 pero dan poca talla",0,https://www.vinted.it/items/5636803359-crocs-azules?referrer=catalog,Sold,20.0,11/01/2025 18:48:42,463,jara.070809,38.5,Crocs azules,22 min,1.0,Condizioni,1,7
5636649306,Pedro Miralles,[],1.0,Un solo uso,0,https://www.vinted.it/items/5636649306-tacones?referrer=catalog,Sold,6.5,11/01/2025 18:52:54,464,marianasanchezzz,39,Tacones,un'ora,9.0,Condizioni,1,4
5636750368,San Marina,[],1.0,"Escarpins noir Bout pointu Cuir Tallon 6 cm 37 Parfait état, neuf. Jamais vraiment porté Je n'ai plus la boite d'origine",0,https://www.vinted.it/items/5636750368-escarpins-noir-san-marina-37?referrer=catalog,Sold,20.0,11/01/2025 18:52:53,465,liot,37,Escarpins noir San Marina 37,38 min,4.0,Condizioni,1,6
5636769406,Rouje,[],1.0,Nuove. Nessun difetto Prezzo di listino 295,0,https://www.vinted.it/items/5636769406-stivali-doria-rouje?referrer=catalog,Sold,180.0,11/01/2025 18:52:53,466,dorilem,38,Stivali Doria Rouje,38 min,15.0,Condizioni,1,6
5645452633,Skechers,[],1.0,Con amortiguadores y a penas un uso,5,https://www.vinted.it/items/5645452633-zapatillas-skechers?referrer=catalog,Sold,20.0,13/01/2025 01:58:39,467,izabelacris,37,Zapatillas Skechers,un'ora,16.0,Condizioni,2,0
5646050626,Bershka,[],,Stivaletto a punta nero,0,https://www.vinted.it/items/5646050626-stivaletto?referrer=catalog,Sold,15.0,13/01/2025 10:52:25,468,danielahila,40,Stivaletto,14 min,1.0,Condizioni,3,0
5646077624,Golden Goose,[],,Jamais mises taille petite c un 38 mais un petit 38,0,https://www.vinted.it/items/5646077624-sneakers-ggdb?referrer=catalog,Sold,110.0,13/01/2025 10:55:27,469,roxane.dubourg,37,Sneakers ggdb,13 min,5.0,Condizioni,1,0
5645824292,Moon Boot,[],,Moon boot icon grigio in nylon Taglia 39/41 Perfette condizioni Indossati una sola volta Vendo per inutilizzo,0,https://www.vinted.it/items/5645824292-moon-boot-icon?referrer=catalog,Sold,50.0,13/01/2025 10:53:56,470,emmabattaglini,40,Moon Boot Icon,un'ora,14.0,Condizioni,1,1
5640658220,adidas,[],1.0,Paire de basket adidas idéale pour faire du fitness neuve jamais portée.,3,https://www.vinted.it/items/5640658220-basket?referrer=catalog,Sold,8.0,13/01/2025 10:59:45,471,dounia5,40,Basket,21 ore,19.0,Condizioni,7,0
5646005281,Rieker,[],,Amper gedragen Zolen en binnenkant niet afgesleten Maat 40 Soepele enkellaars Ritssluitingen werken nog perfect,2,https://www.vinted.it/items/5646005281-rieker-damesschoen-maat-40?referrer=catalog,Sold,10.0,13/01/2025 11:06:07,472,drijbia,40,Rieker damesschoen maat 40,44 min,19.0,Condizioni,5,0
5646107032,Asics,[],,"Chaussures totalement neuves.. Jamais porté. Achetées pour ma fille pour le sport en gymnase, elle n'en a jamais eu l'utilité finalement.. De couleur rose corail et bleu marine",0,https://www.vinted.it/items/5646107032-chaussures-de-sport-asics?referrer=catalog,Sold,10.0,13/01/2025 11:23:57,473,elleiramn,37.5,Chaussures de sport Asics,37 min,9.0,Condizioni,1,1
5646195832,Zara,[],3.0,Super top,0,https://www.vinted.it/items/5646195832-chaussure?referrer=catalog,Sold,1.0,13/01/2025 11:19:52,474,diegoxo,41,Chaussure,22 min,20.0,Condizioni,1,4
5646203708,Nature & Decouvertes,[],1.0,Sandales avec picots de massage et aimants. Taille 39/40,0,https://www.vinted.it/items/5646203708-sandales-de-reflexologie?referrer=catalog,Sold,8.0,13/01/2025 11:23:57,475,laurence74960,40,Sandales de réflexologie,22 min,3.0,Condizioni,1,4
5646235748,Nike,[],1.0,Très bon état,0,https://www.vinted.it/items/5646235748-chaussures-nike?referrer=catalog,Sold,70.0,13/01/2025 11:23:57,476,tess1g,39,Chaussures Nike,18 min,7.0,Condizioni,1,5
5646114800,Birkenstock,[],1.0,"État impeccable, portées 3 /4 fois maximum..",1,https://www.vinted.it/items/5646114800-bottines-birkenstock?referrer=catalog,Sold,50.0,13/01/2025 11:28:03,477,bhv1,41,Bottines Birkenstock,un'ora,17.0,Condizioni,1,2
