Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Jolies sandales noires zara,20.0,Zara,39,https://www.vinted.it/items/5509270074-jolies-sandales-noires-zara?referrer=catalog,0,5509270074,On Sale,10/12/2024 13:45:08,[],0,7
Zapatos tacón,15.0,Zara,39,https://www.vinted.it/items/5509269887-zapatos-tacon?referrer=catalog,2,5509269887,On Sale,10/12/2024 13:45:08,[],0,7
Lot de 2 articles élégant foulard + mocassins,15.0,Graceland,38,https://www.vinted.it/items/5509269115-lot-de-2-articles-elegant-foulard-mocassins?referrer=catalog,0,5509269115,On Sale,10/12/2024 13:45:08,[],0,7
Stivali neri,20.0,Tacco,35,https://www.vinted.it/items/5509269237-stivali-neri?referrer=catalog,0,5509269237,On Sale,10/12/2024 13:45:08,[],0,7
Mooie laarzen,55.0,Fashion,37,https://www.vinted.it/items/5509269577-mooie-laarzen?referrer=catalog,0,5509269577,On Sale,10/12/2024 13:45:08,[],0,7
Absatzschuhe,15.0,Amazon,38,https://www.vinted.it/items/5509269239-absatzschuhe?referrer=catalog,0,5509269239,On Sale,10/12/2024 13:45:08,[],0,7
Stivaletti donna eco pelle neri Mai usati,10.0,L'Amour,38,https://www.vinted.it/items/5509268793-stivaletti-donna-eco-pelle-neri-mai-usati?referrer=catalog,0,5509268793,On Sale,10/12/2024 13:45:08,[],0,7
Escarpin blanc cassé taille 37,10.0,Brand non indicato,37,https://www.vinted.it/items/5509267766-escarpin-blanc-casse-taille-37?referrer=catalog,0,5509267766,On Sale,10/12/2024 13:45:08,[],0,7
Sandales de randonnée KEEN,40.0,keen,37,https://www.vinted.it/items/5509267241-sandales-de-randonnee-keen?referrer=catalog,0,5509267241,On Sale,10/12/2024 13:45:08,[],0,7
Laarsjes 40,15.0,BLUE BOX,40,https://www.vinted.it/items/5509267359-laarsjes-40?referrer=catalog,0,5509267359,On Sale,10/12/2024 13:45:08,[],0,7
Havaianas mulher,8.0,Havaianas,36,https://www.vinted.it/items/5509266866-havaianas-mulher?referrer=catalog,1,5509266866,On Sale,10/12/2024 13:45:08,[],0,7
Bottines à clous,15.0,sans marque,37,https://www.vinted.it/items/5509266912-bottines-a-clous?referrer=catalog,0,5509266912,On Sale,10/12/2024 13:45:08,[],0,7
Tacchi.,10.0,Brand non indicato,38,https://www.vinted.it/items/5509266638-tacchi?referrer=catalog,0,5509266638,On Sale,10/12/2024 13:45:08,[],0,7
Tennis apostar,14.0,AllStar,37,https://www.vinted.it/items/5509266490-tennis-apostar?referrer=catalog,0,5509266490,On Sale,10/12/2024 13:45:08,[],0,7
Nike huarache,50.0,Nike,36.5,https://www.vinted.it/items/5509266460-nike-huarache?referrer=catalog,0,5509266460,On Sale,10/12/2024 13:45:08,[],0,7
Boots daim camel,20.0,éram,39,https://www.vinted.it/items/5509266016-boots-daim-camel?referrer=catalog,9,5509266016,On Sale,10/12/2024 13:45:08,[],0,7
Stivaletti bianchi Gaudi,50.0,Gaudi,37,https://www.vinted.it/items/5509263997-stivaletti-bianchi-gaudi?referrer=catalog,0,5509263997,On Sale,10/12/2024 13:45:08,[],0,7
Stivali alti neri in tessuto con lacci,7.0,Brand non indicato,38,https://www.vinted.it/items/5509265568-stivali-alti-neri-in-tessuto-con-lacci?referrer=catalog,0,5509265568,On Sale,10/12/2024 13:45:08,[],0,7
Bottines chaussons en velours,19.0,Brand non indicato,39,https://www.vinted.it/items/5509265286-bottines-chaussons-en-velours?referrer=catalog,0,5509265286,On Sale,10/12/2024 13:45:08,[],0,7
Puma Palermo maat 38 groen/oranje,50.0,Puma,38,https://www.vinted.it/items/5509264840-puma-palermo-maat-38-groenoranje?referrer=catalog,0,5509264840,On Sale,10/12/2024 13:45:08,[],0,7
Dames schoenen paul noyen mt 38 1/2 nieuw,100.0,Paul Noyen,38.5,https://www.vinted.it/items/5509264223-dames-schoenen-paul-noyen-mt-38-12-nieuw?referrer=catalog,0,5509264223,On Sale,10/12/2024 13:45:08,[],0,7
Basket montante blanche taille 38,18.0,Dockers by Gerli,38,https://www.vinted.it/items/5509264114-basket-montante-blanche-taille-38?referrer=catalog,0,5509264114,On Sale,10/12/2024 13:45:08,[],0,7
Winterlaarzen dames,15.0,Brand non indicato,40,https://www.vinted.it/items/5509263719-winterlaarzen-dames?referrer=catalog,1,5509263719,On Sale,10/12/2024 13:45:08,[],0,7
Scarpe puma RS-Z reinvent Wns,25.0,Puma,37,https://www.vinted.it/items/5509263539-scarpe-puma-rs-z-reinvent-wns?referrer=catalog,0,5509263539,On Sale,10/12/2024 13:45:08,[],0,7
Stivali Manila grace originali,35.0,Manila Grace,39,https://www.vinted.it/items/5509260806-stivali-manila-grace-originali?referrer=catalog,0,5509260806,On Sale,10/12/2024 13:45:08,[],0,7
Bottines Chelsea daim noir &OtherStories,30.0,& Other Stories,39,https://www.vinted.it/items/5509263306-bottines-chelsea-daim-noir-otherstories?referrer=catalog,0,5509263306,On Sale,10/12/2024 13:45:08,[],0,7
Bottines femme cuir pointure 38 marque Red Poppy.,35.0,Poppy,38,https://www.vinted.it/items/5509263177-bottines-femme-cuir-pointure-38-marque-red-poppy?referrer=catalog,0,5509263177,On Sale,10/12/2024 13:45:08,[],0,7
Bottes/bottines ; verte/grise 🌻,11.0,Inconnu,38,https://www.vinted.it/items/5509262750-bottesbottines-vertegrise?referrer=catalog,1,5509262750,On Sale,10/12/2024 13:45:08,[],0,7
Nike Air Force 1 '07,79.0,Nike,38.5,https://www.vinted.it/items/5509261902-nike-air-force-1-07?referrer=catalog,0,5509261902,On Sale,10/12/2024 13:45:08,[],0,7
Jordan 1 Low Legend Coffee,99.0,Jordan,40.5,https://www.vinted.it/items/5499232275-jordan-1-low-legend-coffee?referrer=catalog,0,5499232275,On Sale,10/12/2024 13:45:08,[],0,7
Basket new balance 530,69.0,New Balance,37.5,https://www.vinted.it/items/5509240799-basket-new-balance-530?referrer=catalog,0,5509240799,On Sale,10/12/2024 13:45:08,[],0,7
napapijri doposci stivaletti low neve scarponcini taglia 37.0,45.0,Napapijri,37,https://www.vinted.it/items/5509261156-napapijri-doposci-stivaletti-low-neve-scarponcini-taglia-370?referrer=catalog,1,5509261156,On Sale,10/12/2024 13:45:08,[],0,7
Chinelos inspiração,15.0,Local,38,https://www.vinted.it/items/5509260836-chinelos-inspiracao?referrer=catalog,0,5509260836,On Sale,10/12/2024 13:45:08,[],0,7
Baskets montantes taille 39.,12.0,aucune,39,https://www.vinted.it/items/5509260526-baskets-montantes-taille-39?referrer=catalog,2,5509260526,On Sale,10/12/2024 13:45:08,[],0,7
Tennis Nike air,15.0,Nike,37.5,https://www.vinted.it/items/5509260217-tennis-nike-air?referrer=catalog,0,5509260217,On Sale,10/12/2024 13:45:08,[],0,7
Baskets Nike Dunk High taille 38,105.0,Nike,38,https://www.vinted.it/items/5509259632-baskets-nike-dunk-high-taille-38?referrer=catalog,0,5509259632,On Sale,10/12/2024 13:45:08,[],0,7
Sandales,3.0,Brand non indicato,34,https://www.vinted.it/items/5509259539-sandales?referrer=catalog,0,5509259539,On Sale,10/12/2024 13:45:08,[],0,7
Bottes neuve,18.0,Chaussea,38,https://www.vinted.it/items/5509258940-bottes-neuve?referrer=catalog,0,5509258940,On Sale,10/12/2024 13:45:08,[],0,7
Converse chuck all star grises,70.0,Converse,38,https://www.vinted.it/items/5509259054-converse-chuck-all-star-grises?referrer=catalog,0,5509259054,On Sale,10/12/2024 13:45:08,[],0,7
Scarpe,45.0,Salvatore Ferragamo,37,https://www.vinted.it/items/5509463812-scarpe?referrer=catalog,0,5509463812,On Sale,10/12/2024 13:42:44,[],1,1
Stivali s3 antinfortunistici impermeabili stonekit,28.0,STONEKIT,40,https://www.vinted.it/items/5509463614-stivali-s3-antinfortunistici-impermeabili-stonekit?referrer=catalog,0,5509463614,On Sale,10/12/2024 13:42:44,[],1,1
Boots bottines Melvin & Hamilton 40 leopard comme Neuves,45.0,Brand non indicato,41,https://www.vinted.it/items/5509462466-boots-bottines-melvin-hamilton-40-leopard-comme-neuves?referrer=catalog,0,5509462466,On Sale,10/12/2024 13:42:44,[],1,1
Bottes noires Minelli,40.0,Minelli,38,https://www.vinted.it/items/5509462798-bottes-noires-minelli?referrer=catalog,0,5509462798,On Sale,10/12/2024 13:42:44,[],1,1
